Institute_Code,Institute,Department,Category,Year,CAP1,CAP2,CAP3
6007,"Walchand College of Engineering, Sangli",Civil Engineering,GOPENS,2022-23,93.2859511,92.9996682,92.2346476
6007,"Walchand College of Engineering, Sangli",Civil Engineering,GSCS,2022-23,88.9568225,89.8715578,
6007,"Walchand College of Engineering, Sangli",Civil Engineering,GSTS,2022-23,16.5730741,41.9139826,41.1873138
6007,"Walchand College of Engineering, Sangli",Civil Engineering,GVJS,2022-23,86.8356112,82.4069575,
6007,"Walchand College of Engineering, Sangli",Civil Engineering,GNT1S,2022-23,87.5783283,,
6007,"Walchand College of Engineering, Sangli",Civil Engineering,GNT2S,2022-23,92.6037916,,
6007,"Walchand College of Engineering, Sangli",Civil Engineering,GNT3S,2022-23,89.9192371,85.6827453,
6007,"Walchand College of Engineering, Sangli",Civil Engineering,GOBCS,2022-23,91.1864731,89.5056923,88.3304859
6007,"Walchand College of Engineering, Sangli",Civil Engineering,LOPENS,2022-23,93.3030001,94.4876909,
6007,"Walchand College of Engineering, Sangli",Civil Engineering,LSCS,2022-23,84.2332613,,
6007,"Walchand College of Engineering, Sangli",Civil Engineering,LSTS,2022-23,23.4829494,,
6007,"Walchand College of Engineering, Sangli",Civil Engineering,LVJS,2022-23,75.182198,,
6007,"Walchand College of Engineering, Sangli",Civil Engineering,LNT2S,2022-23,85.0880607,,
6007,"Walchand College of Engineering, Sangli",Civil Engineering,LOBCS,2022-23,89.1304347,91.2564151,
6007,"Walchand College of Engineering, Sangli",Civil Engineering,PWDOPENS,2022-23,32.4992712,95.95134,94.9082722
6007,"Walchand College of Engineering, Sangli",Civil Engineering,DEFOPENS,2022-23,74.9700023,,
6007,"Walchand College of Engineering, Sangli",Civil Engineering,TFWS,2022-23,95.2545256,94.4876909,94.2383135
6007,"Walchand College of Engineering, Sangli",Civil Engineering,PWDRSCS,2022-23,27.3337429,,
6007,"Walchand College of Engineering, Sangli",Civil Engineering,DEFROBCS,2022-23,59.6829046,,
6007,"Walchand College of Engineering, Sangli",Civil Engineering,EWS,2022-23,93.9764818,,
6007,"Walchand College of Engineering, Sangli",Computer Science and Enginnering,GOPENS,2022-23,,99.2111765,99.1979878
6007,"Walchand College of Engineering, Sangli",Computer Science and Enginnering,GSCS,2022-23,96.7270799,97.3192565,
6007,"Walchand College of Engineering, Sangli",Computer Science and Enginnering,GSTS,2022-23,91.8979281,88.6475955,84.2234647
6007,"Walchand College of Engineering, Sangli",Computer Science and Enginnering,GVJS,2022-23,77.9458986,,
6007,"Walchand College of Engineering, Sangli",Computer Science and Enginnering,GNT1S,2022-23,94.4462825,,
6007,"Walchand College of Engineering, Sangli",Computer Science and Enginnering,GNT2S,2022-23,95.085844,,
6007,"Walchand College of Engineering, Sangli",Computer Science and Enginnering,GNT3S,2022-23,96.1795056,98.0767376,97.8065754
6007,"Walchand College of Engineering, Sangli",Computer Science and Enginnering,GOBCS,2022-23,95.0850751,99.0334044,98.9762547
6007,"Walchand College of Engineering, Sangli",Computer Science and Enginnering,LOPENS,2022-23,95.7915734,99.07337,98.9311048
6007,"Walchand College of Engineering, Sangli",Computer Science and Enginnering,LSCS,2022-23,96.6737739,98.1031757,
6007,"Walchand College of Engineering, Sangli",Computer Science and Enginnering,LSTS,2022-23,88.4908068,77.6308856,
6007,"Walchand College of Engineering, Sangli",Computer Science and Enginnering,LVJS,2022-23,63.088298,,
6007,"Walchand College of Engineering, Sangli",Computer Science and Enginnering,LNT1S,2022-23,81.984042,,
6007,"Walchand College of Engineering, Sangli",Computer Science and Enginnering,LNT2S,2022-23,94.6591943,,
6007,"Walchand College of Engineering, Sangli",Computer Science and Enginnering,LNT3S,2022-23,95.2051835,,
6007,"Walchand College of Engineering, Sangli",Computer Science and Enginnering,LOBCS,2022-23,49.0525702,,98.685144
6007,"Walchand College of Engineering, Sangli",Computer Science and Enginnering,PWDOPENS,2022-23,89.5284491,,
6007,"Walchand College of Engineering, Sangli",Computer Science and Enginnering,DEFOPENS,2022-23,97.8106451,,
6007,"Walchand College of Engineering, Sangli",Computer Science and Enginnering,TFWS,2022-23,85.0403264,99.3261199,99.3335539
6007,"Walchand College of Engineering, Sangli",Computer Science and Enginnering,PWDRNT2S,2022-23,96.9440053,,
6007,"Walchand College of Engineering, Sangli",Computer Science and Enginnering,PWDROBCS,2022-23,98.3058086,,
6007,"Walchand College of Engineering, Sangli",Computer Science and Enginnering,DEFRSCS,2022-23,93.7141189,,
6007,"Walchand College of Engineering, Sangli",Computer Science and Enginnering,EWS,2022-23,,,99.1864919
6007,"Walchand College of Engineering, Sangli",Information Technology,GOPENS,2022-23,42.8034319,99.002,98.9735791
6007,"Walchand College of Engineering, Sangli",Information Technology,GSCS,2022-23,95.085844,96.7746,96.6135363
6007,"Walchand College of Engineering, Sangli",Information Technology,GSTS,2022-23,97.912167,83.64,79.4729608
6007,"Walchand College of Engineering, Sangli",Information Technology,GVJS,2022-23,97.1309732,,
6007,"Walchand College of Engineering, Sangli",Information Technology,GNT1S,2022-23,96.6086872,,
6007,"Walchand College of Engineering, Sangli",Information Technology,GNT2S,2022-23,98.0732725,,
6007,"Walchand College of Engineering, Sangli",Information Technology,GNT3S,2022-23,97.7872542,97.8816,
6007,"Walchand College of Engineering, Sangli",Information Technology,GOBCS,2022-23,91.8235378,98.8672,98.8504095
6007,"Walchand College of Engineering, Sangli",Information Technology,LOPENS,2022-23,47.8470482,98.7087,98.5958604
6007,"Walchand College of Engineering, Sangli",Information Technology,LSCS,2022-23,91.2295664,95.6018,
6007,"Walchand College of Engineering, Sangli",Information Technology,LSTS,2022-23,93.6527455,,
6007,"Walchand College of Engineering, Sangli",Information Technology,LVJS,2022-23,96.8473791,,
6007,"Walchand College of Engineering, Sangli",Information Technology,LNT1S,2022-23,96.6086872,,
6007,"Walchand College of Engineering, Sangli",Information Technology,LNT2S,2022-23,44.6471616,,
6007,"Walchand College of Engineering, Sangli",Information Technology,LOBCS,2022-23,97.2697226,98.5851,98.5409167
6007,"Walchand College of Engineering, Sangli",Information Technology,PWDOPENS,2022-23,98.7986567,,
6007,"Walchand College of Engineering, Sangli",Information Technology,DEFOPENS,2022-23,96.0291229,,
6007,"Walchand College of Engineering, Sangli",Information Technology,TFWS,2022-23,98.2216336,99.1206,
6007,"Walchand College of Engineering, Sangli",Information Technology,PWDROBCS,2022-23,96.2092924,80.633,
6007,"Walchand College of Engineering, Sangli",Information Technology,DEFROBCS,2022-23,90.3769698,,
6007,"Walchand College of Engineering, Sangli",Information Technology,EWS,2022-23,14.2210761,98.8479,
6007,"Walchand College of Engineering, Sangli",Electrical Engineering,GOPENS,2022-24,96.727,95.9847,95.7384206
6007,"Walchand College of Engineering, Sangli",Electrical Engineering,GSCS,2022-25,91.8979,90.8511759,92.3405466
6007,"Walchand College of Engineering, Sangli",Electrical Engineering,GSTS,2022-26,77.9458,63.7783399,
6007,"Walchand College of Engineering, Sangli",Electrical Engineering,GVJS,2022-27,94.4462,,
6007,"Walchand College of Engineering, Sangli",Electrical Engineering,GNT1S,2022-28,95.0858,90.0081429,
6007,"Walchand College of Engineering, Sangli",Electrical Engineering,GNT2S,2022-29,96.1795,95.1073753,
6007,"Walchand College of Engineering, Sangli",Electrical Engineering,GNT3S,2022-30,96.085,86.8132394,
6007,"Walchand College of Engineering, Sangli",Electrical Engineering,GOBCS,2022-31,95.7915,94.9108451,
6007,"Walchand College of Engineering, Sangli",Electrical Engineering,LOPENS,2022-32,96.6737,96.0722219,96.2884411
6007,"Walchand College of Engineering, Sangli",Electrical Engineering,LSCS,2022-33,88.4908,87.985064,
6007,"Walchand College of Engineering, Sangli",Electrical Engineering,LSTS,2022-34,63.0882,,
6007,"Walchand College of Engineering, Sangli",Electrical Engineering,LVJS,2022-35,81.984,,
6007,"Walchand College of Engineering, Sangli",Electrical Engineering,LNT2S,2022-36,94.6591,,
6007,"Walchand College of Engineering, Sangli",Electrical Engineering,LOBCS,2022-37,95.2051,94.2439578,
6007,"Walchand College of Engineering, Sangli",Electrical Engineering,PWDOPENS,2022-38,49.0525,88.664007,
6007,"Walchand College of Engineering, Sangli",Electrical Engineering,DEFOPENS,2022-39,89.5284,98.304354,
6007,"Walchand College of Engineering, Sangli",Electrical Engineering,TFWS,2022-40,97.8106,77.1458362,
6007,"Walchand College of Engineering, Sangli",Electrical Engineering,DEFROBCS,2022-41,86.0403,96.0737569,
6007,"Walchand College of Engineering, Sangli",Electrical Engineering,EWS,2022-42,96.944,,
6007,"Walchand College of Engineering, Sangli",Electronics Engineering,GOPENS,2022-43,98.3058,97.912167,
6007,"Walchand College of Engineering, Sangli",Electronics Engineering,GSCS,2022-44,93.7141,95.2545256,
6007,"Walchand College of Engineering, Sangli",Electronics Engineering,GSTS,2022-45,42.8034,,
6007,"Walchand College of Engineering, Sangli",Electronics Engineering,GVJS,2022-46,95.0858,,
6007,"Walchand College of Engineering, Sangli",Electronics Engineering,GNT1S,2022-47,97.9121,93.7421047,91.9143087
6007,"Walchand College of Engineering, Sangli",Electronics Engineering,GNT2S,2022-48,97.1309,,
6007,"Walchand College of Engineering, Sangli",Electronics Engineering,GNT3S,2022-49,96.6086,,
6007,"Walchand College of Engineering, Sangli",Electronics Engineering,GOBCS,2022-50,98.0732,97.2207779,96.9477226
6007,"Walchand College of Engineering, Sangli",Electronics Engineering,LOPENS,2022-51,97.7872,97.4601522,97.149028
6007,"Walchand College of Engineering, Sangli",Electronics Engineering,LSCS,2022-52,91.8236,,
6007,"Walchand College of Engineering, Sangli",Electronics Engineering,LSTS,2022-53,47.847,,
6007,"Walchand College of Engineering, Sangli",Electronics Engineering,LVJS,2022-54,91.2295,,
6007,"Walchand College of Engineering, Sangli",Electronics Engineering,LNT1S,2022-55,93.6527,,
6007,"Walchand College of Engineering, Sangli",Electronics Engineering,LNT2S,2022-56,96.8473,,
6007,"Walchand College of Engineering, Sangli",Electronics Engineering,LOBCS,2022-57,96.6086,96.0985326,
6007,"Walchand College of Engineering, Sangli",Electronics Engineering,PWDOPENS,2022-58,44.6471,97.4224117,
6007,"Walchand College of Engineering, Sangli",Electronics Engineering,DEFOPENS,2022-59,97.2597,98.685144,
